Min,Max,PDF,CDF,Count,Cumul_Count
1.466674804687500e-01,1.832366883754730e-01,1.825080062189954e-06,1.825080062189954e-06,95,95
1.832366883754730e-01,2.198058962821960e-01,1.466980174882337e-04,1.485230895923451e-04,7636,7731
2.198059111833572e-01,2.563751339912415e-01,4.498341877479106e-04,5.983572918921709e-04,23415,31146
2.563751339912415e-01,2.929443418979645e-01,9.226836264133453e-04,1.521040918305516e-03,48028,79174
2.929443418979645e-01,3.295135498046875e-01,1.601171563379467e-03,3.122212365269661e-03,83345,162519
3.295135498046875e-01,3.660827577114105e-01,3.013821784406900e-03,6.136034149676561e-03,156877,319396
3.660827875137329e-01,4.026519954204559e-01,3.945803735405207e-03,1.008183788508177e-02,205389,524785
4.026519954204559e-01,4.392212033271790e-01,4.803937394171953e-03,1.488577574491501e-02,250057,774842
4.392212033271790e-01,4.757904112339020e-01,7.105593569576740e-03,2.199136838316917e-02,369864,1144706
4.757904112339020e-01,5.123596191406250e-01,1.084706559777260e-02,3.283843398094177e-02,564617,1709323
5.123596191406250e-01,5.489288568496704e-01,8.288091979920864e-03,4.112652689218521e-02,431416,2140739
5.489288568496704e-01,5.854980945587158e-01,7.062329445034266e-03,4.818885773420334e-02,367612,2508351
5.854980945587158e-01,6.220673322677612e-01,7.711328100413084e-03,5.590018257498741e-02,401394,2909745
6.220672726631165e-01,6.586365103721619e-01,7.491915021091700e-03,6.339210271835327e-02,389973,3299718
6.586365103721619e-01,6.952057480812073e-01,7.884537801146507e-03,7.127663493156433e-02,410410,3710128
6.952056884765625e-01,7.317749261856079e-01,1.071677356958389e-02,8.199340850114822e-02,557835,4267963
7.317749261856079e-01,7.683441638946533e-01,1.121805608272552e-02,9.321146458387375e-02,583928,4851891
7.683441638946533e-01,8.049134016036987e-01,1.232301723212004e-02,1.055344864726067e-01,641444,5493335
8.049133419990540e-01,8.414825797080994e-01,1.285782363265753e-02,1.183923110365868e-01,669282,6162617
8.414825797080994e-01,8.780518174171448e-01,1.355231460183859e-02,1.319446265697479e-01,705432,6868049
8.780517578125000e-01,9.146209955215454e-01,1.611897163093090e-02,1.480636000633240e-01,839033,7707082
9.146209955215454e-01,9.511902332305908e-01,1.759732514619827e-02,1.656609177589417e-01,915985,8623067
9.511902332305908e-01,9.877594709396362e-01,2.194639481604099e-02,1.876073181629181e-01,1142365,9765432
9.877594113349915e-01,1.024328589439392e+00,7.350090742111206e-01,9.226163625717163e-01,38259067,48024499
1.024328708648682e+00,1.060897946357727e+00,2.739072404801846e-02,9.500070810317993e-01,1425756,49450255
1.060897827148438e+00,1.097467064857483e+00,1.941009052097797e-02,9.694172143936157e-01,1010344,50460599
1.097467064857483e+00,1.134036302566528e+00,1.260796003043652e-02,9.820251464843750e-01,656276,51116875
1.134036302566528e+00,1.170605540275574e+00,7.409229408949614e-03,9.894343614578247e-01,385669,51502544
1.170605540275574e+00,1.207174777984619e+00,4.160279408097267e-03,9.935946464538574e-01,216553,51719097
1.207174777984619e+00,1.243744015693665e+00,2.184563083574176e-03,9.957791566848755e-01,113712,51832809
1.243743896484375e+00,1.280313134193420e+00,1.336458022706211e-03,9.971156716346741e-01,69566,51902375
1.280313134193420e+00,1.316882371902466e+00,9.119829046539962e-04,9.980276823043823e-01,47471,51949846
1.316882371902466e+00,1.353451609611511e+00,6.497092545032501e-04,9.986773133277893e-01,33819,51983665
1.353451609611511e+00,1.390020847320557e+00,4.615339275915176e-04,9.991388916969299e-01,24024,52007689
1.390020847320557e+00,1.426590085029602e+00,3.218864731024951e-04,9.994607567787170e-01,16755,52024444
1.426589965820312e+00,1.463159203529358e+00,2.076172677334398e-04,9.996684193611145e-01,10807,52035251
1.463159203529358e+00,1.499728441238403e+00,1.335382257821038e-04,9.998018741607666e-01,6951,52042202
1.499728441238403e+00,1.536297678947449e+00,8.222465839935467e-05,9.998841285705566e-01,4280,52046482
1.536297678947449e+00,1.572866916656494e+00,5.002640318707563e-05,9.999341964721680e-01,2604,52049086
1.572866916656494e+00,1.609436154365540e+00,2.952787326648831e-05,9.999637007713318e-01,1537,52050623
1.609436035156250e+00,1.646005272865295e+00,1.684837116044946e-05,9.999805688858032e-01,877,52051500
1.646005272865295e+00,1.682574510574341e+00,9.298302757088095e-06,9.999898672103882e-01,484,52051984
1.682574510574341e+00,1.719143748283386e+00,5.283126483845990e-06,9.999951720237732e-01,275,52052259
1.719143748283386e+00,1.755712985992432e+00,2.247730208182475e-06,9.999973773956299e-01,117,52052376
1.755712985992432e+00,1.792282223701477e+00,1.421641286469821e-06,9.999987483024597e-01,74,52052450
1.792282223701477e+00,1.828851461410522e+00,5.379183107834251e-07,9.999994039535522e-01,28,52052478
1.828851342201233e+00,1.865420579910278e+00,3.073818959364871e-07,9.999997019767761e-01,16,52052494
1.865420579910278e+00,1.901989817619324e+00,1.921136885130181e-07,9.999998211860657e-01,10,52052504
1.901989817619324e+00,1.938559055328369e+00,3.842273699206089e-08,9.999998211860657e-01,2,52052506
1.938559055328369e+00,1.975128293037415e+00,1.152682145288964e-07,1.000000000000000e+00,6,52052512
